Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Appeal,Floor,Count_number,Ticket_char,Family,Survived
2.0,1.0,-0.5472971416052439,0.481287771858981,-0.444999501816175,-0.5029948147867506,2.0,13.0,5.209482193806677,1.2628410831146275,5.0,0.07335229062787217,0
0.0,0.0,0.6358797934925706,0.481287771858981,-0.444999501816175,0.7348892734064502,0.0,14.0,2.0,2.0,21.0,0.07335229062787217,1
2.0,0.0,-0.25150290783079027,-0.47908676070718687,-0.444999501816175,-0.48994579561187734,2.0,10.0,5.22718938617767,1.0970853833355712,42.0,-0.5583460543187373,1
0.0,0.0,0.41403411816173036,0.481287771858981,-0.444999501816175,0.3833718950916761,2.0,14.0,2.0,3.0,22.33597429446038,0.07335229062787217,1
2.0,1.0,0.41403411816173036,-0.47908676070718687,-0.444999501816175,-0.4875293105794934,2.0,13.0,5.0768454014013304,1.2111099970494408,22.40416407637342,-0.5583460543187373,0
2.0,1.0,-0.12727419745126756,-0.47908676070718687,-0.444999501816175,-0.4796361038697145,1.0,13.0,4.968143492136141,1.1324060999382548,22.402533978783634,-0.5583460543187373,0
0.0,1.0,1.819056728590385,-0.47908676070718687,-0.444999501816175,0.35944869327107504,2.0,13.0,4.0,2.0,22.340849597939837,-0.5583460543187373,0
2.0,1.0,-2.0262683104775117,2.4020368369913165,0.7107630931786129,-0.23573157020508761,2.0,9.0,5.483402542943624,1.0780385218589845,22.379230219554394,1.9684473254677004,0
2.0,0.0,-0.17755434938717685,-0.47908676070718687,1.8665256881734007,-0.42792332417669837,2.0,14.0,5.375927694824043,1.1272008027612779,22.398065431311032,0.7050506355744817,1
1.0,0.0,-1.138885609154151,0.481287771858981,-0.444999501816175,-0.061825841770532554,0.0,14.0,3.8030965587313914,1.4240375022166953,22.36780968234494,0.07335229062787217,1
2.0,0.0,-1.8783711935902851,0.481287771858981,0.7107630931786129,-0.32030854633852524,2.0,10.0,6.0,1.0,22.0,0.7050506355744817,1
0.0,0.0,2.1148509623648386,-0.47908676070718687,-0.444999501816175,-0.12988952578667132,2.0,10.0,2.0,3.0,22.3795651214262,-0.5583460543187373,1
2.0,1.0,-0.6951942584924706,-0.47908676070718687,-0.444999501816175,-0.4875293105794934,2.0,13.0,5.088109161379123,1.2199251304703473,6.0,-0.5583460543187373,0
2.0,1.0,0.709828351936184,0.481287771858981,5.333813473157765,-0.03854639156255869,2.0,13.0,5.280892408332725,1.1298013034250627,22.36878893346223,3.2318440153609194,0
2.0,0.0,-1.138885609154151,-0.47908676070718687,-0.444999501816175,-0.4913144927342196,2.0,10.0,5.2052414695531635,1.149969086046501,22.40160301797019,-0.5583460543187373,0
1.0,0.0,1.8930052870339984,-0.47908676070718687,-0.444999501816175,-0.33384086251987527,2.0,14.0,3.76166509290238,1.7432612581982732,22.394967170804225,-0.5583460543187373,1
2.0,1.0,-2.0262683104775117,3.3624113695574844,0.7107630931786129,-0.08010993411956231,1.0,9.0,5.446187224570464,1.0764254582640622,22.366917928170263,2.6001456704143098,0
1.0,1.0,0.4234697765997208,-0.47908676070718687,-0.444999501816175,-0.3918365032970897,2.0,13.0,3.691726383494022,1.5715199397304596,22.39669249356576,-0.5583460543187373,1
2.0,0.0,0.11823988438727676,0.481287771858981,-0.444999501816175,-0.29517710200173236,2.0,14.0,5.407640039806564,1.236452003170777,22.388384867502513,0.07335229062787217,0
2.0,0.0,-0.11182277365922597,-0.47908676070718687,-0.444999501816175,-0.5034781117932273,0.0,14.0,5.016068896665087,1.1353528308084102,22.404420518681228,-0.5583460543187373,1
1.0,1.0,0.41403411816173036,-0.47908676070718687,-0.444999501816175,-0.14052205992916064,2.0,13.0,3.65749912375413,1.5755242230274344,22.377101896144097,-0.5583460543187373,0
1.0,1.0,0.340085559718117,-0.47908676070718687,-0.444999501816175,-0.3918365032970897,2.0,13.0,3.0,2.0,22.396500877533615,-0.5583460543187373,1
2.0,0.0,-1.0649370507105376,-0.47908676070718687,-0.444999501816175,-0.4879314136888821,1.0,10.0,5.047153030003299,1.1307193914478828,22.401501293030854,-0.5583460543187373,1
0.0,1.0,-0.10360579094356344,-0.47908676070718687,-0.444999501816175,0.04313080253201827,2.0,13.0,0.0,1.0,22.36177599104734,-0.5583460543187373,1
